sq_ft,bedrooms,bathrooms,age_years,garage,neighborhood_score,price
1450,3,2,12,1,7.2,285000
2100,4,3,5,2,8.1,420000
980,2,1,35,0,5.4,178000
1750,3,2,8,1,7.8,350000
3200,5,4,2,3,9.2,680000
1100,2,1,22,0,6.1,198000
1620,3,2,15,1,7.0,312000
2450,4,3,3,2,8.5,495000
890,2,1,40,0,4.9,162000
1380,3,2,18,1,6.8,268000
2800,4,3,7,2,8.8,560000
1200,2,2,10,0,7.5,245000
1950,3,2,4,1,8.3,388000
760,1,1,50,0,4.2,138000
2250,4,3,6,2,8.0,450000
1580,3,2,20,1,6.5,298000
3500,5,4,1,3,9.5,720000
1050,2,1,28,0,5.8,188000
1820,3,2,9,1,7.6,364000
2650,4,3,4,2,8.6,530000
1300,3,1,25,0,6.3,248000
1700,3,2,11,1,7.4,340000
900,2,1,38,0,5.1,168000
2150,4,2,7,1,7.9,430000
1480,3,2,14,1,7.1,295000
3000,5,4,3,2,9.0,610000
1150,2,1,30,0,5.6,208000
1880,3,2,6,1,8.0,376000
2350,4,3,5,2,8.4,470000
820,1,1,45,0,4.5,148000
1650,3,2,16,1,6.9,328000
2700,4,3,8,2,8.7,540000
1050,2,2,12,0,7.2,218000
2020,3,3,3,1,8.4,404000
780,1,1,48,0,4.3,142000
2400,4,3,4,2,8.2,480000
1550,3,2,19,1,6.6,308000
3200,5,4,2,3,9.3,650000
1000,2,1,32,0,5.5,182000
1750,3,2,10,1,7.5,348000
2550,4,3,6,2,8.5,510000
1250,3,1,22,0,6.4,240000
1680,3,2,13,1,7.3,335000
950,2,1,36,0,5.2,172000
2200,4,2,8,1,7.8,440000
1420,3,2,17,1,7.0,282000
2950,5,4,4,3,9.1,595000
1120,2,1,27,0,5.7,202000
1900,3,2,7,1,7.9,380000
2480,4,3,5,2,8.5,496000
850,1,1,42,0,4.6,155000
1720,3,2,12,1,7.3,342000
2750,4,3,9,2,8.8,550000
1180,2,2,11,0,7.4,235000
2080,3,3,2,1,8.6,416000
800,1,1,46,0,4.4,145000
2300,4,3,5,2,8.1,460000
1600,3,2,18,1,6.7,318000
3100,5,4,3,3,9.2,625000
1080,2,1,29,0,5.6,195000
1780,3,2,11,1,7.5,356000
2580,4,3,7,2,8.6,516000
1280,3,1,23,0,6.5,245000
1660,3,2,14,1,7.1,330000
870,2,1,39,0,5.0,158000
2180,4,2,9,1,7.7,436000
1460,3,2,16,1,7.1,290000
2880,5,4,5,3,9.0,578000
1140,2,1,26,0,5.8,205000
1920,3,2,8,1,7.8,384000
2520,4,3,6,2,8.4,504000
